robustness_seed,train_groups,validation_groups,train_rows,validation_rows,hgb_e_pr_auc,b1_pr_auc,delta_pr_auc,hgb_e_brier,b1_brier,delta_brier,bootstrap_ci_95_low,bootstrap_ci_95_high,bootstrap_probability_positive,seed_consistent,test_accessed
42,1680,360,8435,1805,0.853663712379382,0.8345238078788991,0.019139904500482863,0.15514519580051822,0.1567706840436056,-0.0016254882430873918,0.0011976292990965812,0.036719531596379855,0.9812,True,False
137,1680,360,8415,1825,0.8611256970179823,0.826669975946195,0.03445572107178729,0.15299888828594335,0.15588039718992347,-0.002881508903980118,0.018168193059968595,0.050376201823244024,1.0,True,False
2026,1680,360,8458,1782,0.8551072994094822,0.8410651624361282,0.014042136973353991,0.1542212978039193,0.15608971294718707,-0.001868415143267771,-0.003204733817551225,0.03158997357507254,0.9476,True,False
